"","Combination","Variable","W_statistic","p_value"
"W","Treatment - BV | Inoculum - AB1","length",0.97665804412377,0.916000328004589
"W1","Treatment - BV | Inoculum - AB1","avgDiam",0.882029286320634,0.31860812317548
"W2","Treatment - BV | Inoculum - AB1","rootVolume",0.967067604201614,0.856120524251749
"W3","Treatment - BV | Inoculum - AB1","FRL",0.97892040838603,0.928762081810679
"W4","Treatment - BV | Inoculum - AB1","CRL",0.945269645524007,0.703392066224798
"W5","Treatment - BV | Inoculum - AB1","FRS",0.966713770167763,0.853772766582614
"W6","Treatment - BV | Inoculum - AB1","CRS",0.933774913782797,0.6223289004593
"W7","Treatment - BV | Inoculum - AB1","FVOL",0.941343427400719,0.675451441866578
"W8","Treatment - BV | Inoculum - AB1","lenPerVol",0.97665804412377,0.916000328004589
"W9","Treatment - BV | Inoculum - AB1","weight",0.963749744566122,0.833822496750514
"W10","Treatment - BV+F35 | Inoculum - AB1","length",0.944507575662709,0.697956304434672
"W11","Treatment - BV+F35 | Inoculum - AB1","avgDiam",0.949674115280714,0.734859955084497
"W12","Treatment - BV+F35 | Inoculum - AB1","rootVolume",0.846335984209544,0.183211987474212
"W13","Treatment - BV+F35 | Inoculum - AB1","FRL",0.943156255487919,0.688330624080117
"W14","Treatment - BV+F35 | Inoculum - AB1","CRL",0.946281777614612,0.710617799137372
"W15","Treatment - BV+F35 | Inoculum - AB1","FRS",0.858332931983015,0.22232457936269
"W16","Treatment - BV+F35 | Inoculum - AB1","CRS",0.947895407427027,0.722147339990104
"W17","Treatment - BV+F35 | Inoculum - AB1","FVOL",0.808481986671509,0.0948448185647933
"W18","Treatment - BV+F35 | Inoculum - AB1","lenPerVol",0.94450757566271,0.697956304434674
"W19","Treatment - BV+F35 | Inoculum - AB1","weight",0.900346178560419,0.411801818787041
"W20","Treatment - Control | Inoculum - AB1","length",0.968859395548599,0.884686693145402
"W21","Treatment - Control | Inoculum - AB1","avgDiam",0.8553226444415,0.173687477062704
"W22","Treatment - Control | Inoculum - AB1","rootVolume",0.919639305287831,0.502766904654846
"W23","Treatment - Control | Inoculum - AB1","FRL",0.966097146738416,0.865266372468971
"W24","Treatment - Control | Inoculum - AB1","CRL",0.924836278200612,0.540855150963002
"W25","Treatment - Control | Inoculum - AB1","FRS",0.969863942973247,0.891519199575817
"W26","Treatment - Control | Inoculum - AB1","CRS",0.900353360128726,0.376022850211051
"W27","Treatment - Control | Inoculum - AB1","FVOL",0.99038118474555,0.990083388221873
"W28","Treatment - Control | Inoculum - AB1","lenPerVol",0.968859395548598,0.884686693145399
"W29","Treatment - Control | Inoculum - AB1","weight",0.961960837860229,0.834718339587772
"W30","Treatment - F35 | Inoculum - AB1","length",0.96900863753814,0.868853479247268
"W31","Treatment - F35 | Inoculum - AB1","avgDiam",0.961917908459659,0.821271928257609
"W32","Treatment - F35 | Inoculum - AB1","rootVolume",0.960517098497541,0.81157955667708
"W33","Treatment - F35 | Inoculum - AB1","FRL",0.969358636493178,0.871121421596457
"W34","Treatment - F35 | Inoculum - AB1","CRL",0.916050330743056,0.504787478842572
"W35","Treatment - F35 | Inoculum - AB1","FRS",0.938782036432346,0.657340441413891
"W36","Treatment - F35 | Inoculum - AB1","CRS",0.899175601004096,0.405345850028266
"W37","Treatment - F35 | Inoculum - AB1","FVOL",0.971078023708493,0.882126637687122
"W38","Treatment - F35 | Inoculum - AB1","lenPerVol",0.969008637538139,0.868853479247263
"W39","Treatment - F35 | Inoculum - AB1","weight",0.880125001646273,0.309877826676646
"W40","Treatment - Kalex | Inoculum - AB1","length",0.907774090209164,0.421915144506405
"W41","Treatment - Kalex | Inoculum - AB1","avgDiam",0.907379119409889,0.419379732596493
"W42","Treatment - Kalex | Inoculum - AB1","rootVolume",0.9705587832296,0.896166848092946
"W43","Treatment - Kalex | Inoculum - AB1","FRL",0.902264862939537,0.387490465308576
"W44","Treatment - Kalex | Inoculum - AB1","CRL",0.84503196674373,0.143416790673788
"W45","Treatment - Kalex | Inoculum - AB1","FRS",0.937309946681877,0.637607635973561
"W46","Treatment - Kalex | Inoculum - AB1","CRS",0.854958462890647,0.172529116110546
"W47","Treatment - Kalex | Inoculum - AB1","FVOL",0.821930832031033,0.0917072401911761
"W48","Treatment - Kalex | Inoculum - AB1","lenPerVol",0.907774090209163,0.421915144506401
"W49","Treatment - Kalex | Inoculum - AB1","weight",0.896121113896761,0.351510043302836
"W50","Treatment - Ridomil | Inoculum - AB1","length",0.941407681147599,0.670561019143406
"W51","Treatment - Ridomil | Inoculum - AB1","avgDiam",0.940651876439442,0.664455850171798
"W52","Treatment - Ridomil | Inoculum - AB1","rootVolume",0.963883182982587,0.849110070234256
"W53","Treatment - Ridomil | Inoculum - AB1","FRL",0.93683349980628,0.633803381840092
"W54","Treatment - Ridomil | Inoculum - AB1","CRL",0.992936839111197,0.995111380752438
"W55","Treatment - Ridomil | Inoculum - AB1","FRS",0.929294358342807,0.57466365942577
"W56","Treatment - Ridomil | Inoculum - AB1","CRS",0.971791078770472,0.904242913467706
"W57","Treatment - Ridomil | Inoculum - AB1","FVOL",0.884958131977505,0.29260725113842
"W58","Treatment - Ridomil | Inoculum - AB1","lenPerVol",0.9414076811476,0.670561019143413
"W59","Treatment - Ridomil | Inoculum - AB1","weight",0.882873872474102,0.282515970049593
"W60","Treatment - BV | Inoculum - AB21","length",0.940251897126021,0.667719720635877
"W61","Treatment - BV | Inoculum - AB21","avgDiam",0.94065904644769,0.670601476259959
"W62","Treatment - BV | Inoculum - AB21","rootVolume",0.883902570025706,0.327371131020162
"W63","Treatment - BV | Inoculum - AB21","FRL",0.939921517802418,0.665383393081215
"W64","Treatment - BV | Inoculum - AB21","CRL",0.725199282272818,0.0172542176676768
"W65","Treatment - BV | Inoculum - AB21","FRS",0.902002529541245,0.421052376171888
"W66","Treatment - BV | Inoculum - AB21","CRS",0.750037955314178,0.0297872450720145
"W67","Treatment - BV | Inoculum - AB21","FVOL",0.943637031600308,0.69175311470236
"W68","Treatment - BV | Inoculum - AB21","lenPerVol",0.940251897126021,0.667719720635875
"W69","Treatment - BV | Inoculum - AB21","weight",0.955364057106978,0.775389942988809
"W70","Treatment - BV+F35 | Inoculum - AB21","length",0.835642035951093,0.153231572608258
"W71","Treatment - BV+F35 | Inoculum - AB21","avgDiam",0.99743688935256,0.998133575292493
"W72","Treatment - BV+F35 | Inoculum - AB21","rootVolume",0.894637717302871,0.380961596835978
"W73","Treatment - BV+F35 | Inoculum - AB21","FRL",0.82838373466392,0.135283351504451
"W74","Treatment - BV+F35 | Inoculum - AB21","CRL",0.931522551368205,0.606789593696424
"W75","Treatment - BV+F35 | Inoculum - AB21","FRS",0.918266454736354,0.518818665713041
"W76","Treatment - BV+F35 | Inoculum - AB21","CRS",0.955668362259245,0.777545205986768
"W77","Treatment - BV+F35 | Inoculum - AB21","FVOL",0.827841532079913,0.134015972714224
"W78","Treatment - BV+F35 | Inoculum - AB21","lenPerVol",0.835642035951092,0.153231572608255
"W79","Treatment - BV+F35 | Inoculum - AB21","weight",0.942133029719087,0.681055752512201
"W80","Treatment - Control | Inoculum - AB21","length",0.949566199077619,0.73676726794804
"W81","Treatment - Control | Inoculum - AB21","avgDiam",0.74856413889143,0.0192853180757496
"W82","Treatment - Control | Inoculum - AB21","rootVolume",0.887059098612048,0.303064257241786
"W83","Treatment - Control | Inoculum - AB21","FRL",0.948811816026946,0.730649397379864
"W84","Treatment - Control | Inoculum - AB21","CRL",0.984361082387983,0.971069714215544
"W85","Treatment - Control | Inoculum - AB21","FRS",0.913532848893018,0.460043037228827
"W86","Treatment - Control | Inoculum - AB21","CRS",0.990583643872635,0.990549494989947
"W87","Treatment - Control | Inoculum - AB21","FVOL",0.984779243569548,0.972700399083903
"W88","Treatment - Control | Inoculum - AB21","lenPerVol",0.949566199077619,0.736767267948038
"W89","Treatment - Control | Inoculum - AB21","weight",0.950406662076774,0.743574356717764
"W90","Treatment - F35 | Inoculum - AB21","length",0.869016595442136,0.262464541620912
"W91","Treatment - F35 | Inoculum - AB21","avgDiam",0.87304672240031,0.278980621991572
"W92","Treatment - F35 | Inoculum - AB21","rootVolume",0.989447474174417,0.977722927677841
"W93","Treatment - F35 | Inoculum - AB21","FRL",0.860765028905932,0.231008133991605
"W94","Treatment - F35 | Inoculum - AB21","CRL",0.927468475539057,0.579211887561713
"W95","Treatment - F35 | Inoculum - AB21","FRS",0.95585729301128,0.778882409684378
"W96","Treatment - F35 | Inoculum - AB21","CRS",0.852383674169388,0.202171167658872
"W97","Treatment - F35 | Inoculum - AB21","FVOL",0.88793104316937,0.346806648074597
"W98","Treatment - F35 | Inoculum - AB21","lenPerVol",0.86901659544214,0.262464541620927
"W99","Treatment - F35 | Inoculum - AB21","weight",0.978434411675908,0.926074845447132
"W100","Treatment - Kalex | Inoculum - AB21","length",0.961698835168992,0.832733436729806
"W101","Treatment - Kalex | Inoculum - AB21","avgDiam",0.895573755777916,0.348428022735655
"W102","Treatment - Kalex | Inoculum - AB21","rootVolume",0.819053807932706,0.0866027655495944
"W103","Treatment - Kalex | Inoculum - AB21","FRL",0.961049680534666,0.827793096919394
"W104","Treatment - Kalex | Inoculum - AB21","CRL",0.736573374804519,0.0146729774687963
"W105","Treatment - Kalex | Inoculum - AB21","FRS",0.911536705816543,0.446583050483351
"W106","Treatment - Kalex | Inoculum - AB21","CRS",0.763073340124471,0.0266649197046002
"W107","Treatment - Kalex | Inoculum - AB21","FVOL",0.923944308373551,0.534212054614029
"W108","Treatment - Kalex | Inoculum - AB21","lenPerVol",0.961698835168992,0.832733436729804
"W109","Treatment - Kalex | Inoculum - AB21","weight",0.755929850345759,0.0227543457027631
"W110","Treatment - Ridomil | Inoculum - AB21","length",0.792966234295843,0.050756985694735
"W111","Treatment - Ridomil | Inoculum - AB21","avgDiam",0.924540016368022,0.538644003340932
"W112","Treatment - Ridomil | Inoculum - AB21","rootVolume",0.917538864186873,0.487814047401844
"W113","Treatment - Ridomil | Inoculum - AB21","FRL",0.788921883019203,0.0466130470451698
"W114","Treatment - Ridomil | Inoculum - AB21","CRL",0.800050498696842,0.0588356268147689
"W115","Treatment - Ridomil | Inoculum - AB21","FRS",0.85663747776681,0.177925191296105
"W116","Treatment - Ridomil | Inoculum - AB21","CRS",0.825676922866217,0.0987567383641346
"W117","Treatment - Ridomil | Inoculum - AB21","FVOL",0.98253732762861,0.963452765888614
"W118","Treatment - Ridomil | Inoculum - AB21","lenPerVol",0.792966234295841,0.0507569856947324
"W119","Treatment - Ridomil | Inoculum - AB21","weight",0.910607691944248,0.440406323261378
"W120","Treatment - BV | Inoculum - NI","length",0.915335062949866,0.472412971889794
"W121","Treatment - BV | Inoculum - NI","avgDiam",0.854784043871696,0.171976686701243
"W122","Treatment - BV | Inoculum - NI","rootVolume",0.946623865365846,0.712879804676555
"W123","Treatment - BV | Inoculum - NI","FRL",0.919039658942653,0.498471275179145
"W124","Treatment - BV | Inoculum - NI","CRL",0.905522663214133,0.407601655417304
"W125","Treatment - BV | Inoculum - NI","FRS",0.945994422265327,0.707764815165675
"W126","Treatment - BV | Inoculum - NI","CRS",0.908623487349049,0.427402600991606
"W127","Treatment - BV | Inoculum - NI","FVOL",0.966109144084947,0.865352576889253
"W128","Treatment - BV | Inoculum - NI","lenPerVol",0.915335062949868,0.472412971889809
"W129","Treatment - BV | Inoculum - NI","weight",0.961646292268097,0.832334740972934
"W130","Treatment - BV+F35 | Inoculum - NI","length",0.873700141387898,0.241356534272341
"W131","Treatment - BV+F35 | Inoculum - NI","avgDiam",0.927798146258863,0.563208582808682
"W132","Treatment - BV+F35 | Inoculum - NI","rootVolume",0.838991691970624,0.127878538816539
"W133","Treatment - BV+F35 | Inoculum - NI","FRL",0.882247032635507,0.279535588860869
"W134","Treatment - BV+F35 | Inoculum - NI","CRL",0.946016441197328,0.707943743859482
"W135","Treatment - BV+F35 | Inoculum - NI","FRS",0.875856239722425,0.250562840006722
"W136","Treatment - BV+F35 | Inoculum - NI","CRS",0.923876332438888,0.53370753507038
"W137","Treatment - BV+F35 | Inoculum - NI","FVOL",0.961891515353597,0.834193678068343
"W138","Treatment - BV+F35 | Inoculum - NI","lenPerVol",0.873700141387896,0.241356534272333
"W139","Treatment - BV+F35 | Inoculum - NI","weight",0.853667528097659,0.168476218874966
"W140","Treatment - Control | Inoculum - NI","length",0.873714532590718,0.241417052577979
"W141","Treatment - Control | Inoculum - NI","avgDiam",0.958437729967613,0.807622793063943
"W142","Treatment - Control | Inoculum - NI","rootVolume",0.970320644376707,0.894581404211207
"W143","Treatment - Control | Inoculum - NI","FRL",0.873456655386312,0.240334503505145
"W144","Treatment - Control | Inoculum - NI","CRL",0.976474520036635,0.932751883625554
"W145","Treatment - Control | Inoculum - NI","FRS",0.903962111252485,0.397879055988763
"W146","Treatment - Control | Inoculum - NI","CRS",0.973523286750793,0.915210613254394
"W147","Treatment - Control | Inoculum - NI","FVOL",0.957008496860513,0.796414248292994
"W148","Treatment - Control | Inoculum - NI","lenPerVol",0.873714532590718,0.241417052577982
"W149","Treatment - Control | Inoculum - NI","weight",0.832810584868927,0.113529340912026
"W150","Treatment - F35 | Inoculum - NI","length",0.876724520519331,0.254350212237246
"W151","Treatment - F35 | Inoculum - NI","avgDiam",0.951261989937927,0.750489687437889
"W152","Treatment - F35 | Inoculum - NI","rootVolume",0.858246394382656,0.183230643880838
"W153","Treatment - F35 | Inoculum - NI","FRL",0.877949770243188,0.259773549294674
"W154","Treatment - F35 | Inoculum - NI","CRL",0.766265981132495,0.0286067359150896
"W155","Treatment - F35 | Inoculum - NI","FRS",0.873227648782571,0.239376491720102
"W156","Treatment - F35 | Inoculum - NI","CRS",0.753616674048486,0.021606940182445
"W157","Treatment - F35 | Inoculum - NI","FVOL",0.966385165415176,0.867331634022112
"W158","Treatment - F35 | Inoculum - NI","lenPerVol",0.876724520519333,0.254350212237251
"W159","Treatment - F35 | Inoculum - NI","weight",0.85398137284079,0.169453938110972
"W160","Treatment - Kalex | Inoculum - NI","length",0.868272218742813,0.219404410784179
"W161","Treatment - Kalex | Inoculum - NI","avgDiam",0.946427814836724,0.711286666070392
"W162","Treatment - Kalex | Inoculum - NI","rootVolume",0.92715923269473,0.558349540627244
"W163","Treatment - Kalex | Inoculum - NI","FRL",0.890211657301194,0.319298283213441
"W164","Treatment - Kalex | Inoculum - NI","CRL",0.924935293459142,0.541595181252977
"W165","Treatment - Kalex | Inoculum - NI","FRS",0.950950682009636,0.747974351595997
"W166","Treatment - Kalex | Inoculum - NI","CRS",0.943095329043871,0.684225686874999
"W167","Treatment - Kalex | Inoculum - NI","FVOL",0.892819509845338,0.33322525167041
"W168","Treatment - Kalex | Inoculum - NI","lenPerVol",0.868272218742816,0.219404410784188
"W169","Treatment - Kalex | Inoculum - NI","weight",0.95318906728179,0.766010686234764
"W170","Treatment - Ridomil | Inoculum - NI","length",0.846016194223156,0.146098947787587
"W171","Treatment - Ridomil | Inoculum - NI","avgDiam",0.887785949124648,0.306749103266229
"W172","Treatment - Ridomil | Inoculum - NI","rootVolume",0.847301563278333,0.149667413426846
"W173","Treatment - Ridomil | Inoculum - NI","FRL",0.844354434327602,0.14159545158205
"W174","Treatment - Ridomil | Inoculum - NI","CRL",0.904467284358046,0.401008532618458
"W175","Treatment - Ridomil | Inoculum - NI","FRS",0.875590493702912,0.249412891613974
"W176","Treatment - Ridomil | Inoculum - NI","CRS",0.80551281714516,0.0658460227991151
"W177","Treatment - Ridomil | Inoculum - NI","FVOL",0.927660466258878,0.562159828282612
"W178","Treatment - Ridomil | Inoculum - NI","lenPerVol",0.846016194223155,0.146098947787584
"W179","Treatment - Ridomil | Inoculum - NI","weight",0.882019551853995,0.278460209929561
